step,timestamp,relative_hours,source_file,bearing3_rms,bearing4_rms,bearing3_kurtosis,bearing4_kurtosis
0,2003-11-24T19:37:32,0.0,2003.11.24.19.37.32,0.17954942398764992,0.1729556698136928,3.952207381543186,4.19207309908111
1,2003-11-24T19:47:32,0.16666666666666666,2003.11.24.19.47.32,0.17879437468211562,0.17374590977087598,3.9303255898806535,4.309766068268712
2,2003-11-24T19:57:32,0.3333333333333333,2003.11.24.19.57.32,0.18111903660278747,0.17700673946330317,5.426317162381324,4.1524707367932745
3,2003-11-24T20:07:32,0.5,2003.11.24.20.07.32,0.17969402189251107,0.17814171721169866,4.466287769653643,4.3373202238594395
4,2003-11-24T20:17:32,0.6666666666666666,2003.11.24.20.17.32,0.18088287860238286,0.1747417352078132,6.094212018858268,4.082025884040897
5,2003-11-24T20:27:32,0.8333333333333334,2003.11.24.20.27.32,0.18298919585806495,0.17626900966854966,7.969089140379464,4.1372334284275505
6,2003-11-24T20:37:32,1.0,2003.11.24.20.37.32,0.17825497094883147,0.17690542548330643,3.9646012251440452,4.383321695276318
7,2003-11-24T20:47:32,1.1666666666666667,2003.11.24.20.47.32,0.17894807405503926,0.17461528310754063,3.9922894747972624,4.163391545285178
8,2003-11-24T20:57:32,1.3333333333333333,2003.11.24.20.57.32,0.17964882715629626,0.17573890469122172,3.8211335569007043,4.171030184868899
9,2003-11-24T21:07:32,1.5,2003.11.24.21.07.32,0.179066659528477,0.17762092168798432,3.715691550528991,4.2226820288464975
10,2003-11-24T21:17:32,1.6666666666666667,2003.11.24.21.17.32,0.18225850969287757,0.16857705011706628,5.624831240848691,3.997061481004332
11,2003-11-24T21:27:32,1.8333333333333333,2003.11.24.21.27.32,0.17679247011746393,0.17655271695795102,3.4678741465993035,4.268470857355229
12,2003-11-24T21:37:32,2.0,2003.11.24.21.37.32,0.17899651925735877,0.17872089934666635,3.545544510744055,4.472627229645985
13,2003-11-24T21:47:32,2.1666666666666665,2003.11.24.21.47.32,0.17735895316166467,0.17080292906203887,3.8844754370608863,4.002937980226179
14,2003-11-24T21:57:32,2.3333333333333335,2003.11.24.21.57.32,0.17824799447449527,0.17490920342669042,3.700190934796525,4.31282398494015
15,2003-11-24T22:07:32,2.5,2003.11.24.22.07.32,0.17692541318605048,0.17645265305325178,3.8026119486462036,3.9693670574923527
16,2003-11-24T22:17:32,2.6666666666666665,2003.11.24.22.17.32,0.17794372409644715,0.17526523009115716,3.791325535749199,4.038802831116644
17,2003-11-24T22:27:32,2.8333333333333335,2003.11.24.22.27.32,0.17796421279334856,0.18014500960977156,4.088890671128305,4.226287586709071
18,2003-11-24T22:37:32,3.0,2003.11.24.22.37.32,0.1786783678313057,0.1789708978448469,3.8522217556304033,4.190515524811193
19,2003-11-24T22:47:32,3.1666666666666665,2003.11.24.22.47.32,0.18173930236313085,0.18009664648514506,3.8315560136551334,3.922820004653781
20,2003-11-24T22:57:32,3.3333333333333335,2003.11.24.22.57.32,0.18181025157599062,0.17700244297561527,4.116422808068937,4.109223124353843
21,2003-11-24T23:07:32,3.5,2003.11.24.23.07.32,0.18042371313041317,0.17912712634488984,4.008764756839594,4.060632491328798
22,2003-11-24T23:17:32,3.6666666666666665,2003.11.24.23.17.32,0.18132507220879146,0.1797870246796583,3.9386116792739854,4.05130082172135
23,2003-11-24T23:27:32,3.8333333333333335,2003.11.24.23.27.32,0.1835870318584664,0.1854913219468181,4.0058692487040855,3.860999436007271
24,2003-11-24T23:37:32,4.0,2003.11.24.23.37.32,0.18261197175038252,0.18108221928616175,4.275823351810716,4.095229423209917
25,2003-11-24T23:47:32,4.166666666666667,2003.11.24.23.47.32,0.18227300657470172,0.18008201453228972,4.192202578208127,4.0331377377186755
26,2003-11-24T23:57:32,4.333333333333333,2003.11.24.23.57.32,0.18095432469812134,0.18148305127584402,3.7342820595882817,4.053009421295872
27,2003-11-25T10:47:32,15.166666666666666,2003.11.25.10.47.32,0.21552452108624004,0.18557512686230593,4.8739585490527855,3.9364493185537675
28,2003-11-25T10:57:32,15.333333333333334,2003.11.25.10.57.32,0.21702595025926621,0.18660897551085515,7.8090670280421675,3.7166652119736145
29,2003-11-25T11:07:32,15.5,2003.11.25.11.07.32,0.21618942160897928,0.18811430669359652,4.831237491341349,3.802278575885703
30,2003-11-25T11:17:32,15.666666666666666,2003.11.25.11.17.32,0.2194948475156934,0.18711364282710988,4.414166111652805,3.7753794443357505
31,2003-11-25T11:27:32,15.833333333333334,2003.11.25.11.27.32,0.22804706181475734,0.18948957890262808,4.970266199191506,3.947484017108931
32,2003-11-25T11:37:32,16.0,2003.11.25.11.37.32,0.22923365472162074,0.18903153917464244,4.436661503072137,3.8842707708125377
33,2003-11-25T11:47:32,16.166666666666668,2003.11.25.11.47.32,0.23246495267810333,0.19282663421907723,4.955184303251303,3.722970885997989
34,2003-11-25T11:57:32,16.333333333333332,2003.11.25.11.57.32,0.23488975098370618,0.19013872197358958,6.035160382962978,3.798893977275011
35,2003-11-25T12:07:32,16.5,2003.11.25.12.07.32,0.23768916664712814,0.19122823143830894,4.887027933798255,3.6660735769097115
36,2003-11-25T12:17:32,16.666666666666668,2003.11.25.12.17.32,0.23911140318848373,0.1932603241880584,5.691105176398962,3.740839099966571
37,2003-11-25T12:27:32,16.833333333333332,2003.11.25.12.27.32,0.24454399817009542,0.19229290002341237,4.675484849727316,3.6844207908300235
38,2003-11-25T12:37:32,17.0,2003.11.25.12.37.32,0.24075623668542773,0.1918952412598188,5.276930500271428,3.758325033636735
39,2003-11-25T12:47:32,17.166666666666668,2003.11.25.12.47.32,0.24025536112604165,0.19242376001411246,4.6191630596315365,3.7543883282667734
40,2003-11-25T12:57:32,17.333333333333332,2003.11.25.12.57.32,0.24759028690741977,0.19552702343801803,5.380396265556536,3.8398137307791362
41,2003-11-25T13:07:32,17.5,2003.11.25.13.07.32,0.25203032654434043,0.1955647620290039,5.443293083441037,3.709599712397837
42,2003-11-25T13:17:32,17.666666666666668,2003.11.25.13.17.32,0.2620345062129968,0.19219604712955612,7.673940726630342,3.697914902254175
43,2003-11-25T13:27:32,17.833333333333332,2003.11.25.13.27.32,0.2625095010371351,0.1927340694033856,6.745341485872079,3.809138990926832
44,2003-11-25T13:37:32,18.0,2003.11.25.13.37.32,0.26960982645391063,0.19459184127908039,9.872290132427148,3.688348049865883
45,2003-11-25T13:47:32,18.166666666666668,2003.11.25.13.47.32,0.27192505447991777,0.19308064038480463,7.431747843757733,3.8066225126482833
46,2003-11-25T13:57:32,18.333333333333332,2003.11.25.13.57.32,0.26977137804283985,0.19278385600645803,7.250477189677817,3.7874797963791247
47,2003-11-25T14:07:32,18.5,2003.11.25.14.07.32,0.2740078656703467,0.19587672645767143,6.902433987469539,3.8837199079747102
48,2003-11-25T14:17:32,18.666666666666668,2003.11.25.14.17.32,0.2662042686481274,0.19537764788472797,5.521845784396099,3.781077831656506
49,2003-11-25T14:27:32,18.833333333333332,2003.11.25.14.27.32,0.271840260487073,0.19263749642605116,7.366659536794617,3.684758915123917
50,2003-11-25T14:37:32,19.0,2003.11.25.14.37.32,0.27805145551509436,0.1915481552413575,6.418494973524748,3.7069438263413916
51,2003-11-25T14:47:32,19.166666666666668,2003.11.25.14.47.32,0.2794943722180511,0.19230537448460472,8.50071436214422,3.6906422786020205
52,2003-11-25T14:57:32,19.333333333333332,2003.11.25.14.57.32,0.26756206347780326,0.1916007001445935,5.887772498250879,3.8893964703027466
53,2003-11-25T15:07:32,19.5,2003.11.25.15.07.32,0.28124427980294103,0.19667743410451924,5.723525701102939,3.7386350673615247
54,2003-11-25T15:17:32,19.666666666666668,2003.11.25.15.17.32,0.27983533845887054,0.1988311808458686,5.787085894307947,3.731437020196224
55,2003-11-25T15:27:32,19.833333333333332,2003.11.25.15.27.32,0.279190951155354,0.19802112400387442,5.48954334419175,3.6846819622102505
56,2003-11-25T15:37:32,20.0,2003.11.25.15.37.32,0.2830089682300418,0.19829271089562506,5.831095954350153,3.6359467725745205
57,2003-11-25T15:47:32,20.166666666666668,2003.11.25.15.47.32,0.2771246304741419,0.19942679688159543,5.319157928180376,3.8806749040456823
58,2003-11-25T15:57:32,20.333333333333332,2003.11.25.15.57.32,0.2807655330882202,0.19767674053868856,5.182956898296372,3.7537966998636296
59,2003-11-25T16:07:32,20.5,2003.11.25.16.07.32,0.27936493432125714,0.2003659322018326,6.173184392505844,3.7100733063242566
60,2003-11-25T23:13:21,27.596944444444443,2003.11.25.23.13.21,0.476048556093587,0.21362187257712956,12.813598176575326,3.6361463613927727
61,2003-11-25T23:19:56,27.706666666666667,2003.11.25.23.19.56,0.5113366893142591,0.2217649194904405,12.492149616197183,3.807775814555012
62,2003-11-25T23:29:56,27.873333333333335,2003.11.25.23.29.56,0.4667193324192884,0.21099255537305472,10.73873517633108,3.6244438320004364
63,2003-11-25T23:39:56,28.04,2003.11.25.23.39.56,0.5469869471580909,0.21976274965902504,8.1183948975836,3.660273756500183
